bash: warning: setlocale: LC_ALL: cannot change locale (zh_CN.utf8)
11:16:32 27642277 505221004 355652272 713229487 0 14058121619897 11037309387359
11:16:33 27642277 505221532 355653280 713275968 0 14058157324104 11037322754151
11:16:34 27642277 505222005 355654292 713316580 0 14058192718707 11037336166682
11:16:35 27642277 505222552 355655300 713354596 0 14058228189190 11037348765869
11:16:36 27642277 505223175 355656272 713389982 0 14058260751172 11037360409942
11:16:37 27642277 505223629 355657264 713428519 0 14058294508871 11037371200039
11:16:38 27642277 505224145 355658272 713466962 0 14058328906831 11037382275555
11:16:39 27642277 505224715 355659276 713504329 0 14058365507741 11037396327005
11:16:40 27642277 505225234 355660272 713538744 0 14058401898463 11037410273960
11:16:41 27642277 505225709 355661280 713578770 0 14058434289153 11037419090025
11:16:42 27642277 505226223 355662296 713618413 0 14058470190510 11037431587646
11:16:43 27642277 505227029 355663300 713650738 0 14058508499070 11037446273471
11:16:44 27642277 505227511 355664308 713691586 0 14058538277392 11037454407171
11:16:45 27642277 505228013 355665324 713728078 0 14058575126774 11037468419903
11:16:46 27642277 505228832 355666228 713754733 0 14058613393000 11037477318536
11:16:47 27642277 505229398 355667196 713790384 0 14058642133252 11037487498951
11:16:48 27642277 505229895 355668196 713830054 0 14058673836194 11037497368674
11:16:49 27642277 505230425 355669200 713869722 0 14058707121322 11037508183700
11:16:50 27642277 505230899 355670200 713906250 0 14058745433285 11037521436394
11:16:51 27642277 505231313 355671196 713945327 0 14058777594727 11037534884684
11:16:52 27642277 505231751 355672196 713981284 0 14058812572661 11037545385009
11:16:53 27642277 505232567 355673196 714014073 0 14058847753603 11037557121312
11:16:54 27642277 505232995 355674212 714049662 0 14058881968532 11037568386531
11:16:55 27642277 505233426 355675204 714086104 0 14058914941995 11037580559867
11:16:56 27642277 505233877 355676220 714120713 0 14058948381938 11037592729848
11:16:57 27642277 505234326 355677220 714155974 0 14058980218692 11037602371896
11:16:58 27642277 505234818 355678216 714194359 0 14059016212919 11037617069338
11:16:59 27642277 505235353 355679232 714231710 0 14059053196071 11037631406703
11:17:00 27642277 505235854 355680232 714270219 0 14059088391281 11037642790049
11:17:01 27642277 505236313 355681240 714309224 0 14059118302178 11037653286860
11:17:02 27642277 505236841 355682232 714348792 0 14059150331408 11037665131235
11:17:03 27642277 505237398 355683232 714394051 0 14059186664042 11037679162907
11:17:04 27642277 505237858 355684244 714429790 0 14059219679735 11037687571300
