---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
44.8%  584M  299M    0 | 902  1.00     0   111M|   3  1.57     1  3.09     0 |   0     0 |   0     0     0   112M  448  44.4     0     0 
46.5%  584M  300M    0 | 923  0.97     0   112M|   3  2.31     2  2.94     0 |   0     0 |   0     0     0   112M  450  44.9     0     0 
47.4%  585M  299M    0 | 897  0.98     0   111M|   4  2.08     2  3.08     0 |   0     0 |   0     0     0   111M  448  44.5     0     0 
56.6%  587M  300M    0 | 914  0.95     0   112M|   3  3.12     2  4.10     0 |   0     0 |   0     0     0   111M  446  44.5     0     0 
52.6%  588M  299M    0 | 905  0.96     0   111M|   4  2.33     2  3.79     0 |   0     0 |   0     0     0   112M  446  44.8     0     0 
46.2%  589M  266M    0 | 644  0.99     0    78M|   3  1.89     1  3.89     0 |   0     0 |   0     0     0   111M  448  44.8     0     0 
30.5%  590M  155M    0 |  12  0.35     0     0 |   4  2.26     2  3.15     0 |   0     0 |   0     0     0   111M  447  44.5     0     0 
33.4%  590M   42M    0 |  13  0.40     0     0 |   4  2.14     2  3.36     0 |   0     0 |   0     0     0   112M  449  44.1     0     0 
12.1%  591M  512K    0 |  26   103     0     0 |   3  1.94     1  3.68     0 |   0     0 |   0     0     0    42M  169  46.2     0     0 
 2.7%  592M  512K    0 |  25  0.36     0     0 |   3  0.88     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 2.4%  593M  512K    0 |  26  0.41     0     0 |   4  0.99     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
24.8%  597M  768K    0 | 195  3.94    20M    0 |  50  0.66     2  2.24     0 |   0     0 |  20M  167  4.26     0     0     0     0     0 
