---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
33.9%  932M  560M    0 | 406  39.9     0    49M|   4  2.36     2  3.68     0 |   0     0 |   0     0     0    88M  356   472     0     0 
38.5%  932M  600M    0 | 704  19.0     0    86M|   2  1.67     0     0     0 |   0     0 |   0     0     0    46M  186   275     0     0 
32.0%  932M  563M    0 | 383  48.2     0    46M|   2  1.12     2  3.15     0 |   0     0 |   0     0     0    83M  332   752     0     0 
30.9%  932M  600M    0 | 665  22.7     0    81M|  12  2.54    10  2.83     0 |   0     0 |   0     0     0    44M  182   646     0     0 
50.9%  933M  598M    0 | 818  20.3     0   100M|   7  3.00     6  3.26     0 |   0     0 |   0     0     0   102M  412   399     0     0 
44.4%  933M  600M    0 | 648  21.8     0    79M|   2  0.85     0     0     0 |   0     0 |   0     0     0    77M  309   308     0     0 
21.7%  933M  600M    0 | 358  42.4     0    43M|   1  1.11     0     0     0 |   0     0 |   0     0     0    43M  174   862     0     0 
37.0%  933M  575M    0 | 514  35.7     0    62M|   2  1.13     0     0     0 |   0     0 |   0     0     0    86M  346   632     0     0 
26.2%  933M  600M    0 | 536  25.5     0    65M|  12  2.80    10  3.16     0 |   0     0 |   0     0     0    40M  164   699     0     0 
25.7%  933M  600M    0 | 378  36.0     0    45M|   5  2.73     4  3.19     0 |   0     0 |   0     0     0    45M  184   634     0     0 
36.9%  934M  587M    0 | 567  36.1     0    69M|   4  2.21     2  3.20     0 |   0     0 |   0     0     0    82M  330   659     0     0 
25.9%  934M  597M    0 | 471  27.5     0    57M|   2  1.75     0     0     0 |   0     0 |   0     0     0    46M  187   579     0     0 
23.9%  934M  600M    0 | 378  39.4     0    45M|   2  1.19     0     0     0 |   0     0 |   0     0     0    43M  173   703     0     0 
33.8%  934M  594M    0 | 551  36.1     0    67M|   5  2.70     3  3.86     0 |   0     0 |   0     0     0    72M  290   707     0     0 
29.2%  934M  598M    0 | 445  35.7     0    54M|   6  3.50     7  3.71     0 |   0     0 |   0     0     0    50M  235   615     0     0 
41.6%  935M  566M    0 | 606  26.4     0    72M|   9  2.78     7  3.28     0 |   0     0 |   0     0     0   104M  387   440     0     0 
28.8%  935M  596M    0 | 589  26.8     0    74M|   2  2.38     1  3.67     0 |   0     0 |   0     0     0    42M  171   508     0     0 
26.4%  935M  600M    0 | 508  29.4     0    61M|   2  1.11     0     0     0 |   0     0 |   0     0     0    59M  237   783     0     0 
25.2%  935M  593M    0 | 366  46.1     0    44M|   4  2.22     2  3.55     0 |   0     0 |   0     0     0    49M  198   659     0     0 
48.0%  936M  599M    0 | 891  16.2     0   109M|  14  2.93    13  3.04     0 |   0     0 |   0     0     0   105M  423   404     0     0 
21.7%  936M  600M    0 | 342  45.0     0    41M|   3  2.00     1  4.05     0 |   0     0 |   0     0     0    40M  160   785     0     0 
33.0%  936M  598M    0 | 565  31.8     0    69M|   2  1.44     0     0     0 |   0     0 |   0     0     0    72M  290   639     0     0 
25.6%  936M  593M    0 | 381  38.9     0    45M|   2  0.94     0     0     0 |   0     0 |   0     0     0    50M  200   618     0     0 
35.8%  937M  600M    0 | 615  19.0     0    75M|   7  2.72     5  3.43     0 |   0     0 |   0     0     0    68M  274   427     0     0 
36.4%  937M  586M    0 | 546  38.8     0    65M|  11  2.84    10  3.01     0 |   0     0 |   0     0     0    78M  317   673     0     0 
25.2%  937M  600M    0 | 481  27.0     0    59M|   2  0.98     0     0     0 |   0     0 |   0     0     0    46M  185   651     0     0 
46.8%  938M  577M    0 | 710  26.4     0    87M|   2  2.47     3  3.31     0 |   0     0 |   0     0     0   110M  440   422     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
24.6%  939M  600M    0 | 448  32.0     0    54M|   2  1.04     0     0     0 |   0     0 |   0     0     0    32M  129   303     0     0 
34.7%  939M  596M    0 | 604  29.1     0    73M|   7  2.85     5  3.53     0 |   0     0 |   0     0     0    76M  308   825     0     0 
24.0%  940M  600M    0 | 377  38.2     0    45M|  11  2.88    10  3.08     0 |   0     0 |   0     0     0    41M  168   641     0     0 
62.6%  940M  596M    0 |1086  15.3     0   135M|  15  2.85    13  3.13     0 |   0     0 |   0     0     0   136M  552   319     0     0 
47.1%  941M  600M    0 | 628  19.7     0    75M|   4  2.61     2  3.60     0 |   0     0 |   0     0     0    73M  294   280     0     0 
24.2%  941M  598M    0 | 385  52.4     0    45M|   7  2.64     5  3.25     0 |   0     0 |   0     0     0    48M  195   923     0     0 
34.9%  942M  589M    0 | 590  26.8     0    72M|  10  2.73     8  3.13     0 |   0     0 |   0     0     0    80M  323   631     0     0 
53.4%  943M  600M    0 | 970  15.5     0   119M|   2  2.60     1  4.17     0 |   0     0 |   0     0     0   109M  438   292     0     0 
24.6%  944M  600M    0 | 371  36.4     0    44M|   4  2.32     2  3.56     0 |   0     0 |   0     0     0    44M  178   741     0     0 
32.3%  944M  576M    0 | 463  41.4     0    56M|   2  2.41     1  3.75     0 |   0     0 |   0     0     0    80M  324   618     0     0 
36.0%  945M  600M    0 | 645  22.5     0    78M|   7  2.82     5  3.48     0 |   0     0 |   0     0     0    54M  219   546     0     0 
45.2%  946M  594M    0 | 663  16.1     0    81M|   3  1.55     3  3.20     0 |   0     0 |   0     0     0    87M  351   305     0     0 
26.7%  946M  600M    0 | 469  46.9     0    57M|   2  2.34     1  3.55     0 |   0     0 |   0     0     0    50M  204   777     0     0 
31.9%  947M  598M    0 | 526  29.3     0    64M|   9  2.70     7  3.17     0 |   0     0 |   0     0     0    65M  262   717     0     0 
57.5%  948M  589M    0 | 902  18.7     0   110M|   4  3.14     3  3.95     0 |   0     0 |   0     0     0   120M  482   336     0     0 
29.6%  948M  573M    0 | 383  41.5     0    46M|   6  2.44     3  3.66     0 |   0     0 |   0     0     0    62M  251   693     0     0 
27.7%  949M  600M    0 | 565  26.2     0    68M|   5  2.40     3  3.39     0 |   0     0 |   0     0     0    41M  167   658     0     0 
20.9%  950M  596M    0 | 340  47.7     0    40M|   4  2.69     3  3.21     0 |   0     0 |   0     0     0    44M  179   722     0     0 
63.4%  951M  600M    0 |1100  14.1     0   135M|   7  2.36     5  2.83     0 |   0     0 |   0     0     0   132M  530   316     0     0 
22.6%  951M  600M    0 | 350  46.6     0    42M|   1  1.17     0     0     0 |   0     0 |   0     0     0    42M  168   916     0     0 
22.6%  952M  600M    0 | 336  45.4     0    40M|   6  2.67     4  3.43     0 |   0     0 |   0     0     0    39M  161   722     0     0 
44.7%  952M  574M    0 | 659  26.3     0    80M|  11  2.86     9  3.24     0 |   0     0 |   0     0     0   106M  426   502     0     0 
39.0%  954M  600M    0 | 703  19.1     0    86M|   2  2.35     1  3.41     0 |   0     0 |   0     0     0    61M  245   288     0     0 
24.8%  954M  587M    0 | 349  36.4     0    41M|   2  1.01     2  3.10     0 |   0     0 |   0     0     0    55M  221   831     0     0 
36.8%  955M  599M    0 | 675  31.9     0    81M|   4  3.05     3  3.70     0 |   0     0 |   0     0     0    69M  279   649     0     0 
44.0%  956M  600M    0 | 688  23.1     0    85M|   6  2.18     3  3.00     0 |   0     0 |   0     0     0    84M  339   425     0     0 
26.5%  957M  600M    0 | 368  38.6     0    44M|   6  2.45     4  3.19     0 |   0     0 |   0     0     0    44M  177   349     0     0 
34.1%  958M  591M    0 | 611  28.8     0    74M|   4  3.08     3  3.79     0 |   0     0 |   0     0     0    83M  334   760     0     0 
24.8%  959M  600M    0 | 438  32.4     0    53M|   5  2.26     3  3.16     0 |   0     0 |   0     0     0    44M  180   618     0     0 
30.6%  960M  600M    0 | 491  26.9     0    59M|   4  2.80     3  3.39     0 |   0     0 |   0     0     0    59M  239   529     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
26.0%  961M  590M    0 | 410  49.6     0    50M|   3  2.01     1  4.00     0 |   0     0 |   0     0     0    61M  245   773     0     0 
32.3%  962M  600M    0 | 571  24.7     0    68M|   6  2.53     4  3.31     0 |   0     0 |   0     0     0    58M  233   621     0     0 
19.8%  963M  600M    0 | 352  37.7     0    42M|   4  2.46     3  2.92     0 |   0     0 |   0     0     0    42M  170   629     0     0 
35.7%  964M  579M    0 | 564  36.1     0    68M|   8  2.69     6  3.26     0 |   0     0 |   0     0     0    89M  361   642     0     0 
24.7%  965M  598M    0 | 512  26.6     0    62M|   3  2.38     4  3.10     0 |   0     0 |   0     0     0    43M  174   651     0     0 
43.7%  967M  600M    0 | 365  42.3     0    43M|   3  1.33     0     0     0 |   0     0 |   0     0     0    42M  169   675     0     0 
62.8%  968M  599M    0 |1048  17.8     0   129M|  12  3.25    10  3.65     0 |   0     0 |   0     0     0   130M  525   396     0     0 
40.9%  969M  576M    0 | 542  29.4     0    65M|   7  3.32     6  3.66     0 |   0     0 |   0     0     0    88M  354   428     0     0 
24.8%  969M  596M    0 | 454  35.1     0    56M|   2  0.95     0     0     0 |   0     0 |   0     0     0    36M  145   498     0     0 
33.9%  969M  575M    0 | 545  29.2     0    65M|   3  2.76     2  3.62     0 |   0     0 |   0     0     0    86M  346   702     0     0 
27.4%  970M  600M    0 | 551  26.6     0    67M|   6  2.48     4  3.19     0 |   0     0 |   0     0     0    43M  173   601     0     0 
61.1%  970M  598M    0 | 910  18.3     0   112M|   9  2.99     7  3.52     0 |   0     0 |   0     0     0   113M  457   384     0     0 
40.1%  971M  600M    0 | 512  18.7     0    62M|   4  3.20     3  3.88     0 |   0     0 |   0     0     0    60M  244   311     0     0 
28.8%  971M  563M    0 | 384  41.1     0    46M|   4  2.28     2  3.95     0 |   0     0 |   0     0     0    83M  334   763     0     0 
27.7%  971M  600M    0 | 652  33.9     0    79M|   1  1.15     0     0     0 |   0     0 |   0     0     0    43M  173   593     0     0 
22.6%  971M  590M    0 | 347  38.1     0    41M|   2  1.10     0     0     0 |   0     0 |   0     0     0    51M  205   600     0     0 
33.6%  972M  599M    0 | 600  29.7     0    73M|  12  2.48    11  2.93     0 |   0     0 |   0     0     0    64M  262   696     0     0 
25.5%  972M  600M    0 | 422  37.1     0    51M|  10  2.88     9  3.08     0 |   0     0 |   0     0     0    49M  201   530     0     0 
41.4%  972M  564M    0 | 595  29.4     0    72M|   9  2.96     7  3.57     0 |   0     0 |   0     0     0   107M  432   499     0     0 
52.8%  972M  600M    0 |1037  12.7     0   128M|   3  2.53     2  3.25     0 |   0     0 |   0     0     0    93M  374   282     0     0 
22.3%  973M  600M    0 | 365  44.4     0    43M|   3  1.95     1  3.91     0 |   0     0 |   0     0     0    44M  176   856     0     0 
27.1%  973M  600M    0 | 472  37.8     0    57M|   4  2.56     2  4.17     0 |   0     0 |   0     0     0    56M  228   627     0     0 
56.8%  974M  594M    0 | 930  17.4     0   114M|  13  3.19    12  3.35     0 |   0     0 |   0     0     0   120M  487   391     0     0 
32.4%  974M  600M    0 | 480  27.3     0    58M|   3  1.79     1  3.17     0 |   0     0 |   0     0     0    52M  208   349     0     0 
31.9%  974M  586M    0 | 529  35.4     0    64M|   4  2.54     3  3.08     0 |   0     0 |   0     0     0    77M  311   767     0     0 
28.3%  975M  600M    0 | 542  25.3     0    67M|   4  2.32     2  3.66     0 |   0     0 |   0     0     0    53M  215   456     0     0 
59.5%  975M  596M    0 | 966  18.0     0   118M|   9  2.80     6  3.43     0 |   0     0 |   0     0     0   121M  487   389     0     0 
29.2%  975M  595M    0 | 392  42.4     0    47M|   1  1.07     0     0     0 |   0     0 |   0     0     0    49M  197   766     0     0 
32.6%  978M  600M    0 | 425  36.9     0    51M|   7  3.24     7  3.89     0 |   0     0 |   0     0     0    45M  184   641     0     0 
37.4%  982M  591M    0 | 466  34.6     0    56M|   2  2.39     1  3.67     0 |   0     0 |   0     0     0    67M  269   589     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
35.1%  983M  600M    0 | 561  27.6     0    68M|   8  2.81     6  3.36     0 |   0     0 |   0     0     0    58M  233   718     0     0 
