path	type	mode	uid	gid	size	mtime_ns	link_target
/home/lilingfeng/project/juicefs/cmd/stats.go	dir	644	lilingfeng	lilingfeng	12339	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/format_test.go	dir	644	lilingfeng	lilingfeng	2447	1781576081.7387259230	
/home/lilingfeng/project/juicefs/cmd/rmr_test.go	dir	644	lilingfeng	lilingfeng	1546	1781576081.7387259230	
/home/lilingfeng/project/juicefs/cmd/compact.go	dir	644	lilingfeng	lilingfeng	3060	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/clone.go	dir	644	lilingfeng	lilingfeng	4483	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/compact_test.go	dir	644	lilingfeng	lilingfeng	2619	1781576081.7387259230	
/home/lilingfeng/project/juicefs/cmd/webdav.go	dir	644	lilingfeng	lilingfeng	2891	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/warmup.go	dir	644	lilingfeng	lilingfeng	8547	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/config.go	dir	644	lilingfeng	lilingfeng	11280	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/main.go	dir	644	lilingfeng	lilingfeng	10170	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/flags_test.go	dir	644	lilingfeng	lilingfeng	951	1781576081.7387259230	
/home/lilingfeng/project/juicefs/cmd/rmr.go	dir	644	lilingfeng	lilingfeng	3222	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/main_test.go	dir	644	lilingfeng	lilingfeng	3129	1781576081.7387259230	
/home/lilingfeng/project/juicefs/cmd/format.go	dir	644	lilingfeng	lilingfeng	16934	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/flags.go	dir	644	lilingfeng	lilingfeng	9956	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/info.go	dir	644	lilingfeng	lilingfeng	8431	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/object_test.go	dir	644	lilingfeng	lilingfeng	5939	1782895654.7285091630	
